"Id","Avg_TotalSteps","Avg_TotalDistance","Avg_TrackerDistance","Avg_LoggedActivitiesDistance","Avg_VeryActiveDistance","Avg_ModeratelyActiveDistance","Avg_LightActiveDistance","Avg_SedentaryActiveDistance","Avg_Calories"
1503960366,11640.5263157895,7.60736845120004,7.60736845120004,0,2.78368420036216,0.635263155949743,4.17842106442702,0,1796.21052631579
1624580081,4226.26315789474,2.7468420769039,2.7468420769039,0,0.0515789468037455,0.0273684216173072,2.65947366388221,0.00526315777709609,1352.89473684211
1644430081,9274.8,6.74900000095368,6.74900000095368,0,1.13399997502565,2.03000001162291,3.58000001907349,0.00799999982118606,2916.4
1844505072,3640.58333333333,2.40666668613752,2.40666668613752,0,0.0508333345254262,0.0308333337306977,2.32416664560636,0,1615.91666666667
1927972279,2180.83333333333,1.51083333945523,1.51083333945523,0,0,0.0616666674613953,1.44916666205972,0,2254
2022484408,12174.9166666667,8.77416676282883,8.77416676282883,0,3.08583335702618,0.884166662891705,4.80583329995473,0,2475.33333333333
2026352035,3392.75,2.10333331425985,2.10333331425985,0,0,0,2.10333331425985,0,1355.5
2320127002,3138.41666666667,2.12249997258186,2.12249997258186,0,0.079166665362815,0.0449999986837308,1.99833328525225,0,1532.08333333333
2347167796,9800.06666666667,6.51133337020874,6.51133337020874,0,0.861333320538203,1.26066666394472,4.38733329772949,0,2021.33333333333
2873212765,6636.58333333333,4.46916672587395,4.46916672587395,0,0.329999998832742,0.260833332935969,3.8766666551431,0.00166666662941376,1695.75
2891001357,773.625,0.603750005364417,0,1.20700800418854,0,0,0.603750005364417,0,2273.375
3372868164,6127.5,4.21599998474121,4.21599998474121,0,0.743999981880187,0.113999999314547,3.34600002765655,0.0139999996870756,1860.3
3977333714,8663.91666666667,5.80666661759217,5.80666661759217,0,0.835000008965532,1.3691666678836,3.58916666607062,0,1398.08333333333
4020332650,5776.59375,4.14374999358552,4.14374999358552,0,0.165625000954606,0.196562500321306,2.24093751126202,0.00624999986030161,3075.375
4057192912,1887.21875,1.38906250183936,1.40687500720378,0.00174509373027831,0.100000001722947,0.243124992586672,1.03656251204666,0.00187499995809048,1903.53125
4319703577,7820.58333333333,5.25583334763845,5.25583334763845,0,0.461666668454806,0.716666656235854,4.07583330074946,0,1994.25
4388161847,0,0,0,0,0,0,0,0,1805.25
4445114986,4293.06666666667,2.90666668017705,2.90666668017705,0,0.423333330700795,0.0413333334028721,2.44066663185755,0,2107.8
4558609924,5785.25,3.8233333081007,3.8233333081007,0,0.18083333534499,0.114166667064031,3.52666670580705,0,1830.16666666667
4702921684,7943.4,6.44599997202555,6.44599997202555,0,0.238000002503395,0.811333337426186,5.38933334350586,0,2821.46666666667
5553957443,8354.75,5.45833336313566,5.45833336313566,0,1.51166667789221,0.869166672229767,3.07583332061767,0,1802.5
5577150313,8608.18181818182,6.44818178090182,6.44818178090182,0,3.11454543200406,0.647272727367552,2.68363636732101,0,3300.27272727273
6117666160,8248.6,6.22699997425079,6.22699997425079,0,0.0420000001788139,0.27299998998642,5.90899999141693,0,2099.3
6290855005,1618.1,1.22300000190735,1.22300000190735,0,0.201999998092651,0.36800000667572,0.653000020980835,0,2165.6
6391747486,1336.88888888889,1.07444446616703,0.101111107402378,0.972758875952827,0.225555552376641,0.00555555563833979,0.843333337042066,0,1763.11111111111
6775888955,5559,3.98555551738375,3.98555551738375,0,0.942222205301126,1.17666665712992,1.82333332238098,0,2724.77777777778
6962181067,12639.7142857143,8.64785715511867,8.38571436064584,1.00374398912702,2.58071428963116,1.78499999429498,4.2750000080892,0.007142857249294,2089.21428571429
7007744171,12260.3333333333,8.8566666841507,8.20333333810171,2.8626104593277,3.53999993825952,0.655000013609727,4.65750000377496,0.00416666672875484,2627.08333333333
7086361926,6103.91666666667,4.09416662560155,4.09416662560155,0,1.52916665747762,0.554999992251396,1.99333332804963,0.00499999988824128,2177
8053475328,14844.3636363636,11.5763636028225,11.5763636028225,0,8.53909091515974,0.493636368350549,2.54090913452885,0,2893.18181818182
8253242879,2389.91666666667,1.67916663487752,1.67916663487752,0,0.603333319226901,0.282499998807907,0.792499999205272,0.00249999994412065,1463
8378563200,8135.25,6.45166663328807,6.45166663328807,1.26065264145533,1.96500001847744,0.526666656136513,3.96166666348775,0,3356.16666666667
8583815059,3045.5,2.37750001251698,2.37750001251698,0,0.0462500005960465,0.0912500023841857,2.23499999940395,0,2391.25
8792009665,3094.91666666667,1.98083334121232,1.98083334121232,0,0.0483333327186605,0.114166665822267,1.81833335213984,0,2073.66666666667
8877689391,17417.0833333333,14.0908332069715,14.0908332069715,0,7.28250002861022,0.483333335878948,6.27250005801519,0.00249999994412065,3451.16666666667
